iter	Passed	Remaining
910	12419	1213
911	12431	1199
912	12444	1185
913	12459	1172
914	12472	1158
915	12485	1144
916	12499	1131
917	12512	1117
918	12525	1104
919	12539	1090
920	12552	1076
921	12565	1063
922	12580	1049
923	12595	1035
924	12607	1022
925	12620	1008
926	12635	994
927	12649	981
928	12665	967
929	12677	954
930	12690	940
931	12703	926
932	12716	913
933	12744	900
934	12756	886
935	12769	873
936	12782	859
937	12796	845
938	12808	832
939	12821	818
940	12833	804
941	12847	791
942	12860	777
943	12873	763
944	12885	749
945	12896	736
946	12908	722
947	12920	708
948	12932	694
949	12944	681
950	12956	667
951	12970	653
952	12983	640
953	12995	626
954	13008	612
955	13021	599
956	13036	585
957	13049	572
958	13063	558
959	13076	544
960	13088	531
961	13100	517
962	13111	503
963	13123	490
964	13137	476
965	13150	462
966	13163	449
967	13177	435
968	13191	422
969	13205	408
970	13218	394
971	13232	381
972	13247	367
973	13263	354
974	13279	340
975	13293	326
976	13306	313
977	13319	299
978	13333	286
979	13345	272
980	13359	258
981	13371	245
982	13384	231
983	13396	217
984	13409	204
985	13423	190
986	13437	176
987	13451	163
988	13466	149
989	13480	136
990	13492	122
991	13506	108
992	13519	95
993	13532	81
994	13547	68
995	13562	54
996	13575	40
997	13591	27
998	13604	13
999	13619	0
